longitude,latitude
103.8538799,1.362004539
103.8379748,1.37094274
103.8353682,1.38070883
103.857201,1.366201041
103.8351317,1.381041348
103.842018,1.376806785
103.8559671,1.367479014
103.8417425,1.365119086
103.8559671,1.367479014
103.8548806,1.370055004
103.8541682,1.374058463
103.8367406,1.36754925
103.8364912,1.366823609
103.840654,1.36598198
103.8541005,1.374473785
103.8379934,1.368750415
103.8560231,1.369743586
103.8400023,1.381561712
103.8541683,1.366050278
103.8412103,1.382200246
103.8446989,1.369563443
103.8346302,1.370654871
103.8536003,1.36830997
103.8416666,1.369196966
103.8534978,1.37071308
103.8354757,1.373295936
103.8516986,1.361342556
103.8359677,1.370615176
103.8510307,1.362431864
103.8577361,1.371625702
103.8456602,1.367089832
103.8559533,1.371388551
103.8501398,1.374000865
103.8581186,1.363143927
103.8565159,1.362662978
103.8404087,1.380104651
103.8570222,1.373651239
103.8418003,1.371015364
103.8346877,1.37020344
103.8566942,1.364098079
103.8351317,1.381041348
103.8571386,1.367116211
103.8428478,1.365820895
103.8449948,1.366286428
103.8437636,1.379395177
103.8478669,1.366617937
103.853671,1.37183157
103.8538833,1.371754007
103.8538833,1.371754007
103.8394679,1.370261584
103.8527613,1.368992878
103.8511342,1.373405406
103.8458688,1.371477831
103.8527861,1.372076889
103.8438393,1.364827262
103.8392927,1.378456616
103.9379247,1.334484667
103.9268539,1.331310218
103.9421444,1.327914779
103.9266174,1.33269318
103.9337211,1.320852087
103.9115458,1.335576195
103.9211051,1.329478409
103.9224158,1.329304314
103.9091128,1.329144379
103.9278382,1.334902876
103.9248122,1.333036982
103.9266174,1.33269318
103.9419956,1.328696112
103.9086416,1.331037846
103.9347819,1.320439328
103.9264885,1.326043353
103.9415719,1.324252012
103.9415719,1.324252012
103.9365177,1.333722809
103.9223501,1.335416066
103.9258048,1.327978774
103.9223501,1.335416066
103.9190156,1.326848469
103.9421444,1.327914779
103.9332996,1.321301188
103.9262076,1.325442004
103.9223501,1.335416066
103.9290675,1.329369602
103.9384963,1.330654548
103.9275651,1.327976141
103.9258048,1.327978774
103.9242187,1.333580162
103.9127796,1.335769298
103.9397662,1.322332207
103.940721,1.321478478
103.9383547,1.322056529
103.9354552,1.322815443
103.9360468,1.32284177
103.9406116,1.32848132
103.9408488,1.327260072
103.9125235,1.333141064
103.911905,1.335340885
103.9405287,1.328915582
103.9132694,1.335636498
103.9132694,1.335636498
103.9390464,1.329258819
103.9189953,1.336636818
103.9282001,1.332586694
103.9115832,1.329348987
103.9405287,1.328915582
103.9325194,1.333400119
103.924883,1.335972774
103.9359901,1.335961068
103.9248036,1.327275724
103.9408276,1.326237253
103.9113038,1.324058778
103.9343482,1.325477105
103.912464,1.33000184
103.9224247,1.325778506
103.9087571,1.33207913
103.9302606,1.329649995
103.9348306,1.336072095
103.9216254,1.324306049
103.9289606,1.336954394
103.9282078,1.336636993
103.9335196,1.324855984
103.9049532,1.332101322
103.9452029,1.31925983
103.9049532,1.332101322
103.9426283,1.333614296
103.8393967,1.357284441
103.8342146,1.363453206
103.8473653,1.345894936
103.8553957,1.348003411
103.8553957,1.348003411
103.8480637,1.347067527
103.8528785,1.349138096
103.8552258,1.348863451
103.8479902,1.346750596
103.8486132,1.347946759
103.8528785,1.349138096
103.8421874,1.359613768
103.8435198,1.35673539
103.8483034,1.357511897
103.8530492,1.350205825
103.8314316,1.35840617
103.8327589,1.362768866
103.8504668,1.34608832
103.8384765,1.349769429
103.8435198,1.35673539
103.8458457,1.357291229
103.8520798,1.345411048
103.7485749,1.362583231
103.7510934,1.356181992
103.7437249,1.349973055
103.7510918,1.356651468
103.7508779,1.355115164
103.7524969,1.346818455
103.7549997,1.347207298
103.7563004,1.348483521
103.7458574,1.35106126
103.7522173,1.347192811
103.7505611,1.362471404
103.7549997,1.347207298
103.7531743,1.348733378
103.7569803,1.349927212
103.7409093,1.346607336
103.743984,1.347735583
103.7590211,1.350912592
103.7506254,1.361067048
103.7547278,1.346733922
103.7426059,1.346054606
103.7409093,1.346607336
103.7598628,1.350008402
103.7445096,1.35159087
103.7487743,1.356769427
103.7508779,1.355115164
103.7594314,1.344170293
103.7572392,1.349182698
103.7566047,1.350258841
103.7574615,1.344411503
103.7522876,1.366316899
103.7517067,1.349006479
103.744924,1.347081585
103.7471885,1.348222309
103.7499561,1.345480082
103.7527204,1.363995341
103.7526886,1.366423112
103.7460455,1.34538562
103.7493835,1.346671926
103.7503677,1.346000907
103.7527285,1.365853749
103.7500573,1.347121729
103.7444236,1.346008943
103.7495086,1.351341461
103.7565485,1.343178552
103.743212,1.350441718
103.7477123,1.351059427
103.7605172,1.344489809
103.8326758,1.28745837
103.831873,1.28728822
103.8095604,1.271757071
103.8271804,1.288300791
103.8218187,1.276915948
103.8316146,1.288001696
103.8216629,1.273131053
103.822184,1.274361964
103.8280562,1.277008235
103.8281784,1.280189419
103.8282029,1.287669769
103.8109414,1.274831282
103.8280562,1.277008235
103.8120071,1.275705008
103.8216069,1.285122153
103.8281784,1.280189419
103.8108875,1.271408833
103.8284586,1.288525352
103.8274764,1.291293745
103.8121495,1.27396036
103.8243603,1.284587128
103.8042002,1.286458819
103.8072294,1.273494356
103.8305255,1.28407985
103.8305255,1.28407985
103.8310634,1.284205817
103.8292333,1.289308932
103.8216252,1.290717998
103.8208395,1.276080724
103.8222768,1.289426079
103.8269502,1.275352014
103.8253458,1.273357314
103.8288562,1.281153031
103.8107509,1.280649504
103.8096439,1.288633659
103.8096439,1.288633659
103.8273345,1.291698335
103.8277237,1.278831011
103.8065794,1.27368174
103.8065794,1.27368174
103.8065794,1.27368174
103.8245363,1.282218691
103.8152771,1.288053157
103.8173911,1.288381067
