"","Postal.Code","Longitude","Latitude"
"153",120334,103.7676912,1.314488114
"154",120346,103.7703123,1.317649249
"155",120374,103.7669837,1.319126186
"156",120427,103.764187,1.311756081
"157",120440,103.7640464,1.316254186
"158",120442,103.763896569583,1.31385772949926
"159",120463,103.7678806,1.310928216
"160",120501,103.7591849,1.311360936
"161",120504,103.7592318,1.312614612
"162",120507,103.7614211,1.311458097
"163",120510,103.7605991,1.310563194
"164",120602,103.7668576,1.304559438
"165",120703,103.760936270154,1.30701031530639
"166",120708,103.7614392,1.305612302
"167",120717,103.7625268,1.302806668
"168",120727,103.7639717,1.303538317
"169",120728,103.7635574,1.305309675
"170",121309,103.766179840158,1.32056337141105
"171",121318,103.7651855,1.317392375
"172",121416,103.770131034559,1.30981358763305
"173",121455,103.7665267,1.311661194
"174",121462,103.765650777195,1.31150425544153
"175",126844,103.7633016,1.297549243
"176",126887,103.7650871,1.294030791
"177",126979,103.7621,1.292559
"178",127371,103.7661313,1.30369749
"179",128466,103.7592759,1.305564229
"180",128477,103.7574918,1.307186103
"181",129588,103.7640729,1.314744665
"182",130028,103.7816745,1.304738893
"183",131002,103.783666774324,1.30284868402082
"184",131019,103.7844633,1.307343527
"185",138498,103.7929073,1.291828565
"186",138522,103.788101,1.299862514
"187",138538,103.7910301,1.297545047
"188",138563,103.7947059,1.292371742
"189",138564,103.7928145,1.295057318
"190",138565,103.7931031,1.293791988
"191",138568,103.7912633,1.300785497
"192",138577,103.7894043,1.299941797
"193",138588,103.7912375,1.306245568
"194",138602,103.7740329,1.303996549
"195",138617,103.7884627,1.306815007
"196",138628,103.7901156,1.298064293
"197",138632,103.7876409,1.299598572
"198",138634,103.7886979,1.298426183
"199",138665,103.7935452,1.302173852
"200",138667,103.7917213,1.304480538
"201",138668,103.7917927,1.303816151
"202",139212,103.7879054,1.304621933
"203",139651,103.7809355,1.309243306
"204",139654,103.7751605,1.303020173
"205",139658,103.7745868,1.309646033
"206",140023,103.7995693,1.294206414
"207",140117,103.8003917,1.306253309
"208",140118,103.8005433,1.307172812
"209",141043,103.801754422444,1.2983325731435
"210",141061,103.8110073,1.293966567
"211",141082,103.8092236,1.294345239
"212",141083,103.808064,1.294940134
"213",141085,103.8096169,1.295306795
"214",141088,103.7982057,1.301821057
"215",141129,103.814400630046,1.29248301199208
"216",141161,103.8035302,1.29203197
"217",141171,103.8037024,1.2898291
"218",142007,103.7950498,1.306246135
"219",142031,103.803537618992,1.29845599096421
"220",142054,103.7967914,1.301636409
"221",142060,103.8118775,1.292563549
"222",142078,103.810144507776,1.29422542784565
"223",142095,103.811934159724,1.29607321736465
"224",143053,103.807582225673,1.29332243274382
"225",143056,103.8099398,1.292850191
"226",143089,103.811989733077,1.29518674501814
"227",144037,103.805330993,1.29789474296104
"228",149066,103.8021651,1.304678941
"229",149596,103.7987539,1.30552382
"230",149740,103.8065158,1.295463429
"231",150061,103.813764499017,1.28953339055007
"232",150064,103.8152203,1.289334048
"233",150073,103.8172732,1.287915777
"234",150096,103.8213559,1.287520865
"235",150118,103.8211938,1.283707366
"236",150119,103.816575,1.28244913
"237",150124,103.8032153,1.285582555
"238",150163,103.8170992126,1.28363470609251
"239",151028,103.8099531,1.286850768
"240",151035,103.8089551,1.287667284
"241",151037,103.8103277,1.289358727
"242",151057,103.8140698,1.288095999
"243",151070,103.8169073,1.287008244
"244",151088,103.818577605194,1.286463927483
"245",151104,103.821559940018,1.2890460476816
"246",151121,103.822782855841,1.28347091305665
"247",151129,103.8233757,1.283492803
"248",152002,103.8067014,1.286928026
"249",152028,103.8095715,1.286302696
"250",159102,103.8103179,1.290420399
"251",159303,103.8108506,1.285052813
"252",159345,103.8085463,1.284964651
"253",159545,103.8204116,1.282393511
"254",159546,103.8212892,1.281547978
"255",159936,103.8103528,1.291654312
"256",159942,103.8072765,1.289460256
"257",159950,103.8068551,1.290669962
"258",159964,103.7999739,1.288598041
"259",159971,103.8052834,1.287283209
"260",160003,103.827409,1.291993773
"261",160062,103.8329724,1.283876807
"262",160081,103.8326449,1.28262121
"263",160096,103.8324652,1.2885117
"264",160126,103.8294614,1.282529097
"265",160127,103.829243442409,1.28185645216714
"266",160150,103.8307877,1.277371664
"267",161004,103.827409,1.291993773
"268",161011,103.8286983,1.28631122
"269",161026,103.8255985,1.282596291
"270",161051,103.8277184,1.289869482
"271",161117,103.8270175,1.281934892
"272",161119,103.8272973,1.281481446
"273",161134,103.82718857877,1.27926297086306
"274",162011,103.8378867,1.286500625
"275",162120,103.827476166039,1.2834464796053
"276",164078,103.827923223211,1.29122535077389
"277",165002,103.8332897,1.286783924
"278",165018,103.826795600075,1.28513514427867
"279",166008,103.829641012372,1.28696308219404
"280",167008,103.8389732,1.287256848
"281",168582,103.8355037,1.277557411
"282",168583,103.8378252,1.281168232
"283",168732,103.8270153,1.286458895
"284",168751,103.8360719,1.280878452
"285",169056,103.8347715,1.285435393
"286",169608,103.8340431,1.278428733
"287",169609,103.8361194,1.278580602
"288",169632,103.8366578,1.28825972
"289",169633,103.83616,1.287692856
"290",169637,103.8324148,1.289846869
"291",169662,103.8356818,1.289630647
"292",169664,103.835148,1.290281934
"293",169851,103.8348706,1.281783413
"294",178957,103.851708,1.290655338
"295",179024,103.8467284,1.290313946
"296",179097,103.8502825,1.291372584
"297",179103,103.8527683,1.293760281
"298",179105,103.8499898,1.291347597
"299",179682,103.8537433,1.292068957
"300",179809,103.8502169,1.292650807
"301",179949,103.8506608,1.293706169
"302",180231,103.8536632,1.296580028
"303",180261,103.851937756299,1.29880829368048
"304",180270,103.854118,1.301063272
"305",187940,103.8515554,1.302855135
"306",188024,103.8559236,1.299816399
"307",188067,103.8542423,1.29960369
"308",188425,103.8544972,1.301512586
"309",188720,103.8532456,1.296042084
"310",188770,103.8572437,1.301143298
"311",188947,103.8560483,1.297692737
"312",188979,103.8522866,1.300422419
"313",189352,103.8578595,1.29916296
"314",189649,103.8527002,1.302243271
"315",189655,103.8514658,1.299874147
"316",189656,103.8519602,1.301299759
"317",189673,103.8540683,1.295097408
"318",189685,103.8560267,1.296580533
"319",189720,103.8589083,1.298355794
"320",189767,103.8555261,1.294030105
"321",189770,103.8573688,1.296356664
"322",189773,103.8579794,1.297292099
"323",190004,103.8656582,1.30468354
"324",190007,103.863437208667,1.30435203072103
"325",190467,103.8623393,1.30553398
"326",199020,103.8603957,1.305773908
"327",199555,103.8627016,1.301074776
"328",199592,103.8602329,1.299433969
"329",200026,103.8567933,1.305783783
"330",200031,103.8568008,1.306267001
"331",200635,103.854698193613,1.30624974548364
"332",200814,103.8618542,1.30716702
"333",207851,103.8577639,1.313802861
"334",207876,103.8585039,1.311192191
"335",208533,103.8556647,1.310516817
"336",208539,103.8567241,1.311351699
"337",208767,103.8627364,1.307830101
"338",210009,103.852041216531,1.31363383389436
"339",210043,103.8509356,1.315984621
"340",210049,103.8506799,1.313250655
"341",210671,103.8525143,1.308916692
"342",210678,103.855321953109,1.31261295749072
"343",210685,103.856841,1.31445037
"344",211014,103.8520472,1.311679344
"345",217562,103.8539295,1.312473265
"346",217664,103.8561848,1.315740301
"347",218227,103.8514388,1.305122222
"348",219097,103.8530223,1.310497268
"349",228208,103.8319802,1.306185947
"350",228210,103.8321282,1.306547047
"351",228213,103.8337929,1.307176981
"352",228230,103.8364621,1.311950535
"353",228461,103.8472866,1.300369378
"354",228463,103.8459566,1.300964835
"355",228705,103.8475647,1.305853676
"356",228714,103.8475647,1.305853676
"357",229469,103.8401561,1.3028537
"358",229540,103.8298953,1.307399045
"359",229573,103.83263,1.308343806
"360",229619,103.8407592,1.304247087
"361",229627,103.8426106,1.309243391
"362",229664,103.8368599,1.306356659
"363",229846,103.8431747,1.311305266
"364",229899,103.8466501,1.310448532
"365",229924,103.8368128,1.304250532
"366",237994,103.8317579,1.293802351
"367",238163,103.8379089,1.300886517
"368",238164,103.8374202,1.300286776
"369",238274,103.8422501,1.292731987
"370",238360,103.8408732,1.296196537
"371",238459,103.8452782,1.297839483
"372",238549,103.8300709,1.300087543
"373",238801,103.8320323,1.303979741
"374",238843,103.839759,1.301978369
"375",238855,103.8373672,1.302651601
"376",238858,103.8394428,1.300443253
"377",238859,103.8352666,1.303710847
"378",238871,103.829588,1.306654845
"379",238872,103.8346761,1.302424172
"380",238877,103.833201,1.30370452
"381",238879,103.8285904,1.307622826
"382",238881,103.8307279,1.30510759
"383",238890,103.8454663,1.299475305
"384",238895,103.8383607,1.301014364
"385",238896,103.8394347,1.300838908
"386",238904,103.8313471,1.306344306
"387",238910,103.8391513,1.290802539
"388",238972,103.8409639,1.292387618
"389",239191,103.8332219,1.297327602
"390",239224,103.8321903,1.298379943
"391",239225,103.8327038,1.298473629
"392",239693,103.8373592,1.301398802
"393",239917,103.8427029,1.29216191
"394",247913,103.8266023,1.305569894
"395",247933,103.8238835,1.304853421
"396",247980,103.8163679,1.298717725
"397",248466,103.8160576,1.300290136
"398",248649,103.8239072,1.303137582
"399",248994,103.825974,1.29334773
"400",249078,103.8227156,1.294094465
"401",249107,103.8247983,1.292543811
"402",249679,103.8101858,1.306792403
"403",249691,103.8287656,1.303919346
"404",249715,103.8249079,1.304651583
"405",257720,103.8191356,1.308472042
"406",257742,103.807475,1.31001689
"407",257814,103.8325005,1.309974638
"408",258117,103.8368773,1.314585889
"409",258423,103.8194958,1.311721261
"410",258500,103.819605,1.307427932
"411",258887,103.8069527,1.309350465
"412",258961,103.8119236,1.313425913
"413",259387,103.8320811,1.311056045
"414",259569,103.81318,1.313479419
"415",259715,103.8323402,1.317699237
"416",260004,103.808062,1.318832253
"417",261008,103.806210586409,1.3166948314211
"418",266313,103.8015569,1.3240326
"419",266744,103.8108844,1.321997596
"420",267616,103.7999362,1.3260125
"421",268846,103.8061074,1.314297615
"422",268850,103.8074441,1.315842642
"423",268852,103.8078737,1.314709942
"424",269257,103.7946181,1.319303049
"425",269733,103.8085449,1.324742002
"426",270024,103.7858206,1.308728312
"427",271005,103.7962384,1.308878937
"428",271018,103.7920156,1.311593204
"429",272002,103.7869257,1.312613639
"430",272008,103.7872643,1.310792647
"431",272013,103.7887246,1.309494181
"432",272016,103.78765231793,1.3096110710679
"433",272031,103.7843689,1.309354432
"434",273005,103.78822,1.312942442
"435",275748,103.7941455,1.311049168
"436",276544,103.7932459,1.327211786
"437",276697,103.7780899,1.316284589
"438",276955,103.7777994,1.31501746
"439",278116,103.7980424,1.312250058
"440",278737,103.8004688,1.308877689
"441",279871,103.7929908,1.331725212
"442",288303,103.8103033,1.341221633
"443",289629,103.7991101,1.330963742
"444",289758,103.7905372,1.345177885
"445",299551,103.8173375,1.323368139
"446",300001,103.8424599,1.324991365
"447",300069,103.8507431,1.31896257
"448",307512,103.8392562,1.32405248
"449",307591,103.8440031,1.31724363
"450",307672,103.8421664,1.324191511
"451",307683,103.8438506,1.319967484
"452",307955,103.8403548,1.315448385
"453",307987,103.8420629,1.319831573
"454",307991,103.8420836,1.317352833
"455",308184,103.848877,1.325132601
"456",308232,103.8488638,1.321619914
"457",308380,103.8427431,1.31710864
"458",308381,103.8427431,1.31710864
"459",308433,103.845694,1.321368649
